t,R_s
6.627737311646342278e-04,9.270358967734807498e-01
6.644062814302742481e-04,9.281145970370829890e-01
6.660431390628218651e-04,9.292571311060245920e-01
6.676844786852598190e-04,9.303499941790520644e-01
6.693302420899271965e-04,9.314332467742554300e-01
6.709804874844849110e-04,9.325058772623896486e-01
6.726352730765938759e-04,9.335258018668759483e-01
6.742945406585931778e-04,9.345888218771853939e-01
6.759584066458046436e-04,9.355961011161133545e-01
6.776269292458891869e-04,9.366434408731306727e-01
6.793001666665077209e-04,9.376730771183657831e-01
6.809782935306429863e-04,9.386996784758669943e-01
6.826616008765995502e-04,9.396811611690554233e-01
6.843501469120383263e-04,9.406565740867757208e-01
6.860440480522811413e-04,9.416238939705388056e-01
6.877434789203107357e-04,9.426378499624815666e-01
6.894484977237880230e-04,9.436563582860253430e-01
6.911592208780348301e-04,9.446784073119253167e-01
6.928758230060338974e-04,9.457440575582714004e-01
6.945984205231070518e-04,9.467554844771023381e-01
6.963270134292542934e-04,9.477273566924662163e-01
6.980617181397974491e-04,9.487144033465003679e-01
6.998027674853801727e-04,9.497302814340079502e-01
7.015499868430197239e-04,9.507729676964997712e-01
7.033030269667506218e-04,9.518247586221934009e-01
7.050608983263373375e-04,9.528836309525999804e-01
7.068238919600844383e-04,9.540043138298565095e-01
7.085920078679919243e-04,9.550879710767575803e-01
7.103653624653816223e-04,9.561736515821480653e-01
7.121440721675753593e-04,9.572750123408310108e-01
7.139282533898949623e-04,9.583489579469832709e-01
7.157179643400013447e-04,9.594745978075387427e-01
7.175133214332163334e-04,9.606088365166737253e-01
7.193143828772008419e-04,9.617085786685652948e-01
7.211212650872766972e-04,9.628529336701472374e-01
7.229339680634438992e-04,9.639420537149698820e-01
7.247526082210242748e-04,9.650296563159250773e-01
7.265771855600178242e-04,9.661694589859060045e-01
7.284078164957463741e-04,9.672616139184623263e-01
7.302445010282099247e-04,9.683598386264871127e-01
7.320872391574084759e-04,9.694610982222455764e-01
7.339360890910029411e-04,9.705466775647115796e-01
7.357911090366542339e-04,9.716292220194434615e-01
7.376524154096841812e-04,9.727213769520002273e-01
7.395199500024318695e-04,9.738201074746468677e-01
7.413938292302191257e-04,9.749223786996501495e-01
7.432736456394195557e-04,9.760251557392758404e-01
7.451567798852920532e-04,9.771664758531238837e-01
7.470432319678366184e-04,9.782054190874100996e-01
